,Unnamed: 0,Unnamed: 0_x,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
57,57,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,57,K3C15J2,K3E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT3.vrp,828.0
58,58,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,58,K3C15J2,K3E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n359-k29.vrp,53888.0
59,59,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,59,K3C15J2,K3E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n322-k28.vrp,30997.0
60,60,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,60,K3C15J2,K3E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n139-k10.vrp,13842.0
61,61,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,61,K3C15J2,K3E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n308-k13.vrp,26867.0
62,62,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,62,K3C15J2,K3E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n979-k58.vrp,125297.0
63,63,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,63,K3C15J2,K3E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n129-k18.vrp,29920.0
64,64,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,64,K3C15J2,K3E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n469-k138.vrp,225742.0
65,65,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,65,K3C15J2,K3E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_17.vrp,721.0
66,66,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,66,K3C15J2,K3E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n393-k38.vrp,39928.0
