,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,.ID.,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,.PARENT.,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
113,113,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,113,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n561-k42.vrp,44622.0
114,114,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,114,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n106-k14.vrp,26635.0
115,115,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,115,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n573-k30.vrp,52017.0
116,116,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,116,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n1001-k43.vrp,77303.0
117,117,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,117,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n134-k13.vrp,11145.0
118,118,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,118,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_4.vrp,14006.0
119,119,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,119,K5C10J2,K5E2C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n313-k71.vrp,96532.0
120,120,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,120,K5C10J2,K5E2C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n289-k60.vrp,97570.0
121,121,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,121,K5C10J2,K5E2C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n214-k11.vrp,11415.0
122,122,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,122,K5C10J2,K5E2C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT2.vrp,843.0
