conjunto,media
K5E1C10J3,"{'X-n766-k71.vrp': '118439\n', 'X-n181-k23.vrp': '25814\n', 'Golden_14.vrp': '1135\n', 'X-n655-k131.vrp': '107553\n', 'X-n219-k73.vrp': '117866\n', 'X-n280-k17.vrp': '34394\n', 'Golden_19.vrp': '1404\n', 'X-n313-k71.vrp': '96532\n', 'X-n190-k8.vrp': '17404\n', 'X-n289-k60.vrp': '97570\n'}"
K7E1C10J3,"{'X-n641-k35.vrp': '66663\n', 'X-n876-k59.vrp': '103074\n', 'X-n303-k21.vrp': '22505\n', 'CMT8.vrp': '859\n', 'X-n106-k14.vrp': '26674\n', 'X-n411-k19.vrp': '20717\n', 'X-n916-k207.vrp': '336053\n', 'X-n129-k18.vrp': '29839\n', 'X-n261-k13.vrp': '28013\n', 'X-n449-k29.vrp': '58229\n'}"
K7E2C15J3,"{'Golden_16.vrp': '1705\n', 'X-n275-k28.vrp': '21710\n', 'Golden_18.vrp': '1040\n', 'CMT4.vrp': '1030\n', 'X-n393-k38.vrp': '39901\n', 'X-n228-k23.vrp': '26363\n', 'X-n716-k35.vrp': '45590\n', 'X-n266-k58.vrp': '77371\n', 'X-n641-k35.vrp': '66565\n', 'X-n411-k19.vrp': '20680\n', 'X-n139-k10.vrp': '13799\n', 'X-n237-k14.vrp': '27634\n', 'X-n134-k13.vrp': '11145\n', 'X-n561-k42.vrp': '44700\n', 'X-n186-k15.vrp': '24749\n'}"
K7E7C15J3,"{'X-n214-k11.vrp': '11415\n', 'X-n502-k39.vrp': '69842\n', 'X-n367-k17.vrp': '23504\n', 'X-n162-k11.vrp': '14286\n', 'CMT1.vrp': '521\n', 'X-n733-k159.vrp': '141194\n', 'X-n469-k138.vrp': '225742\n', 'CMT14.vrp': '865\n', 'Golden_17.vrp': '718\n', 'X-n233-k16.vrp': '19693\n', 'X-n895-k37.vrp': '57033\n', 'X-n586-k159.vrp': '194302\n', 'X-n251-k28.vrp': '39686\n', 'X-n783-k48.vrp': '76961\n', 'X-n125-k30.vrp': '56511\n'}"
K5E1C18J3,"{'X-n313-k71.vrp': '96100\n', 'X-n524-k153.vrp': '', 'X-n979-k58.vrp': '122483\n', 'X-n280-k17.vrp': '34365\n', 'X-n573-k30.vrp': '51775\n', 'X-n317-k53.vrp': '79017\n', 'Golden_2.vrp': '8561\n', 'X-n459-k26.vrp': '25355\n', 'X-n228-k23.vrp': '26308\n', 'Golden_11.vrp': '830\n', 'X-n322-k28.vrp': '31038\n', 'X-n120-k6.vrp': '13560\n', 'X-n641-k35.vrp': '66743\n', 'X-n957-k87.vrp': '87676\n', 'X-n367-k17.vrp': '23708\n', 'X-n275-k28.vrp': '21760\n', 'Golden_1.vrp': '5809\n', 'X-n190-k8.vrp': '17378\n'}"
K3E2C15J3,"{'X-n749-k98.vrp': '80278\n', 'X-n270-k35.vrp': '36249\n', 'X-n701-k44.vrp': '85543\n', 'X-n766-k71.vrp': '119336\n', 'X-n599-k92.vrp': '111505\n', 'X-n411-k19.vrp': '20564\n', 'CMT13.vrp': '1561\n', 'X-n228-k23.vrp': '26363\n', 'Golden_10.vrp': '666\n', 'Golden_20.vrp': '1899\n', 'X-n670-k130.vrp': '', 'X-n308-k13.vrp': '26774\n', 'X-n513-k21.vrp': '25259\n', 'X-n294-k50.vrp': '48823\n', 'CMT3.vrp': '819\n'}"
K5E3C10J3,"{'X-n153-k22.vrp': '21577\n', 'X-n393-k38.vrp': '39629\n', 'X-n209-k16.vrp': '31578\n', 'X-n819-k171.vrp': '162559\n', 'X-n204-k19.vrp': '20024\n', 'Golden_3.vrp': '11384\n', 'X-n294-k50.vrp': '48861\n', 'X-n1001-k43.vrp': '76829\n', 'CMT6.vrp': '548\n', 'X-n120-k6.vrp': '13545\n'}"
K5E4C18J3,"{'CMT5.vrp': '1333\n', 'X-n261-k13.vrp': '27744\n', 'X-n469-k138.vrp': '225742\n', 'CMT6.vrp': '548\n', 'X-n749-k98.vrp': '80821\n', 'X-n819-k171.vrp': '162413\n', 'X-n376-k94.vrp': '148736\n', 'X-n733-k159.vrp': '141251\n', 'X-n599-k92.vrp': '111976\n', 'X-n766-k71.vrp': '119336\n', 'X-n513-k21.vrp': '25226\n', 'X-n101-k25.vrp': '28271\n', 'Golden_15.vrp': '1401\n', 'X-n670-k130.vrp': '', 'Golden_7.vrp': '10452\n', 'X-n801-k40.vrp': '76326\n', 'X-n266-k58.vrp': '77371\n', 'X-n233-k16.vrp': '19693\n'}"
K5E1C15J3,"{'X-n469-k138.vrp': '225742\n', 'CMT12.vrp': '824\n', 'X-n176-k26.vrp': '49042\n', 'X-n837-k142.vrp': '198701\n', 'X-n819-k171.vrp': '162253\n', 'Golden_12.vrp': '1008\n', 'X-n139-k10.vrp': '13761\n', 'CMT4.vrp': '1030\n', 'X-n536-k96.vrp': '97165\n', 'X-n393-k38.vrp': '39679\n', 'X-n280-k17.vrp': '34394\n', 'Golden_10.vrp': '666\n', 'X-n351-k40.vrp': '27104\n', 'X-n148-k46.vrp': '44309\n', 'X-n167-k10.vrp': '21173\n'}"
K7E5C18J3,"{'Golden_2.vrp': '8561\n', 'CMT7.vrp': '909\n', 'X-n1001-k43.vrp': '76978\n', 'X-n766-k71.vrp': '119031\n', 'X-n411-k19.vrp': '20762\n', 'X-n536-k96.vrp': '97058\n', 'X-n303-k21.vrp': '22450\n', 'X-n439-k37.vrp': '37217\n', 'X-n186-k15.vrp': '24739\n', 'X-n749-k98.vrp': '80402\n', 'X-n294-k50.vrp': '48682\n', 'X-n513-k21.vrp': '25367\n', 'X-n801-k40.vrp': '75922\n', 'X-n200-k36.vrp': '59931\n', 'X-n367-k17.vrp': '23708\n', 'X-n322-k28.vrp': '31038\n', 'X-n469-k138.vrp': '226066\n', 'X-n284-k15.vrp': '21246\n'}"
K7E5C15J3,"{'CMT5.vrp': '1327\n', 'CMT8.vrp': '856\n', 'X-n536-k96.vrp': '96994\n', 'X-n449-k29.vrp': '58242\n', 'X-n627-k43.vrp': '64808\n', 'X-n916-k207.vrp': '336103\n', 'X-n167-k10.vrp': '21035\n', 'X-n701-k44.vrp': '85548\n', 'X-n331-k15.vrp': '32350\n', 'X-n766-k71.vrp': '119336\n', 'X-n247-k50.vrp': '', 'X-n384-k52.vrp': '67850\n', 'X-n204-k19.vrp': '20091\n', 'X-n115-k10.vrp': '12747\n', 'Golden_7.vrp': '10382\n'}"
K7E6C18J3,"{'CMT1.vrp': '521\n', 'X-n209-k16.vrp': '31190\n', 'X-n957-k87.vrp': '87671\n', 'Golden_20.vrp': '1890\n', 'X-n106-k14.vrp': '26653\n', 'Golden_17.vrp': '720\n', 'X-n115-k10.vrp': '12777\n', 'X-n134-k13.vrp': '11091\n', 'CMT12.vrp': '822\n', 'X-n573-k30.vrp': '51775\n', 'X-n819-k171.vrp': '161905\n', 'X-n181-k23.vrp': '25842\n', 'X-n120-k6.vrp': '13560\n', 'X-n167-k10.vrp': '21092\n', 'X-n655-k131.vrp': '107584\n', 'CMT14.vrp': '867\n', 'X-n157-k13.vrp': '16943\n', 'X-n308-k13.vrp': '26806\n'}"
K5E3C18J3,"{'X-n439-k37.vrp': '37383\n', 'X-n480-k70.vrp': '91596\n', 'X-n214-k11.vrp': '11307\n', 'Golden_8.vrp': '12033\n', 'Golden_16.vrp': '1698\n', 'Golden_10.vrp': '664\n', 'X-n162-k11.vrp': '14251\n', 'X-n143-k7.vrp': '16118\n', 'X-n181-k23.vrp': '25854\n', 'Golden_19.vrp': '1404\n', 'X-n176-k26.vrp': '49042\n', 'X-n289-k60.vrp': '97570\n', 'X-n401-k29.vrp': '68453\n', 'X-n242-k48.vrp': '84855\n', 'X-n172-k51.vrp': '46417\n', 'X-n449-k29.vrp': '57762\n', 'X-n384-k52.vrp': '68012\n', 'X-n247-k50.vrp': ''}"
K5E5C15J3,"{'X-n120-k6.vrp': '13545\n', 'X-n284-k15.vrp': '21249\n', 'Golden_1.vrp': '5801\n', 'X-n289-k60.vrp': '97691\n', 'X-n384-k52.vrp': '67855\n', 'X-n749-k98.vrp': '80663\n', 'X-n411-k19.vrp': '20574\n', 'Golden_19.vrp': '1408\n', 'CMT10.vrp': '1406\n', 'Golden_9.vrp': '520\n', 'X-n200-k36.vrp': '59429\n', 'X-n701-k44.vrp': '85498\n', 'X-n303-k21.vrp': '22443\n', 'X-n256-k16.vrp': '19226\n', 'X-n766-k71.vrp': '119252\n'}"
K7E3C18J3,"{'Golden_11.vrp': '815\n', 'X-n153-k22.vrp': '21636\n', 'CMT9.vrp': '1179\n', 'X-n979-k58.vrp': '123107\n', 'Golden_9.vrp': '522\n', 'X-n129-k18.vrp': '30004\n', 'X-n298-k31.vrp': '35822\n', 'X-n783-k48.vrp': '76755\n', 'X-n359-k29.vrp': '53504\n', 'X-n247-k50.vrp': '', 'X-n214-k11.vrp': '11307\n', 'X-n733-k159.vrp': '141251\n', 'X-n502-k39.vrp': '69949\n', 'Golden_5.vrp': '6509\n', 'X-n936-k151.vrp': '', 'X-n384-k52.vrp': '68012\n', 'X-n344-k43.vrp': '43512\n', 'X-n251-k28.vrp': '39623\n'}"
K7E4C18J3,"{'X-n219-k73.vrp': '117897\n', 'X-n237-k14.vrp': '27794\n', 'X-n561-k42.vrp': '44660\n', 'X-n101-k25.vrp': '28058\n', 'X-n270-k35.vrp': '36086\n', 'CMT6.vrp': '548\n', 'CMT8.vrp': '858\n', 'Golden_8.vrp': '12143\n', 'X-n172-k51.vrp': '46377\n', 'Golden_19.vrp': '1401\n', 'X-n327-k20.vrp': '28706\n', 'X-n266-k58.vrp': '77215\n', 'Golden_18.vrp': '1037\n', 'X-n701-k44.vrp': '85872\n', 'X-n916-k207.vrp': '336053\n', 'Golden_4.vrp': '14208\n', 'CMT13.vrp': '1562\n', 'X-n491-k59.vrp': '69286\n'}"
K7E7C18J3,"{'Golden_7.vrp': '10475\n', 'Golden_10.vrp': '661\n', 'X-n627-k43.vrp': '65207\n', 'Golden_16.vrp': '1704\n', 'CMT2.vrp': '843\n', 'X-n313-k71.vrp': '96100\n', 'X-n548-k50.vrp': '88329\n', 'X-n459-k26.vrp': '25355\n', 'X-n139-k10.vrp': '13906\n', 'CMT4.vrp': '1030\n', 'CMT3.vrp': '823\n', 'Golden_3.vrp': '11381\n', 'X-n586-k159.vrp': '193974\n', 'Golden_12.vrp': '1006\n', 'X-n242-k48.vrp': '84762\n', 'X-n289-k60.vrp': '97575\n', 'X-n449-k29.vrp': '58046\n', 'X-n376-k94.vrp': '148664\n'}"
K5E3C15J3,"{'CMT8.vrp': '856\n', 'X-n513-k21.vrp': '25273\n', 'X-n599-k92.vrp': '111505\n', 'X-n209-k16.vrp': '31686\n', 'CMT14.vrp': '865\n', 'X-n655-k131.vrp': '107536\n', 'X-n157-k13.vrp': '16951\n', 'X-n261-k13.vrp': '27916\n', 'CMT6.vrp': '548\n', 'CMT1.vrp': '521\n', 'X-n1001-k43.vrp': '76615\n', 'X-n716-k35.vrp': '45778\n', 'X-n233-k16.vrp': '19693\n', 'X-n367-k17.vrp': '23504\n', 'X-n429-k61.vrp': '67588\n'}"
K3E1C18J3,"{'X-n200-k36.vrp': '59775\n', 'X-n101-k25.vrp': '28058\n', 'X-n134-k13.vrp': '11120\n', 'X-n548-k50.vrp': '88423\n', 'Golden_5.vrp': '6503\n', 'X-n228-k23.vrp': '26362\n', 'X-n876-k59.vrp': '102931\n', 'CMT3.vrp': '822\n', 'X-n819-k171.vrp': '161863\n', 'X-n336-k84.vrp': '144661\n', 'X-n561-k42.vrp': '44536\n', 'X-n502-k39.vrp': '69971\n', 'X-n120-k6.vrp': '13535\n', 'X-n322-k28.vrp': '30855\n', 'X-n233-k16.vrp': '19902\n', 'X-n275-k28.vrp': '21764\n', 'X-n856-k95.vrp': '90822\n', 'X-n303-k21.vrp': '22500\n'}"
