conjunto,media
K7E5C18J1,"{'X-n916-k207.vrp': '336173\n', 'X-n275-k28.vrp': '21760\n', 'X-n599-k92.vrp': '111654\n', 'X-n153-k22.vrp': '21759\n', 'Golden_16.vrp': '1697\n', 'X-n101-k25.vrp': '28124\n', 'Golden_3.vrp': '11381\n', 'Golden_5.vrp': '6509\n', 'Golden_19.vrp': '1392\n', 'Golden_18.vrp': '1035\n', 'X-n856-k95.vrp': '90740\n', 'X-n219-k73.vrp': '118016\n', 'CMT6.vrp': '548\n', 'X-n1001-k43.vrp': '76745\n', 'X-n322-k28.vrp': '30869\n', 'X-n641-k35.vrp': '66271\n', 'X-n327-k20.vrp': '28675\n', 'Golden_9.vrp': '517\n'}"
K7E5C15J1,"{'CMT2.vrp': '843\n', 'X-n157-k13.vrp': '16951\n', 'X-n513-k21.vrp': '25259\n', 'X-n439-k37.vrp': '37503\n', 'X-n134-k13.vrp': '11145\n', 'Golden_10.vrp': '666\n', 'Golden_16.vrp': '1698\n', 'Golden_17.vrp': '721\n', 'CMT1.vrp': '521\n', 'X-n266-k58.vrp': '77371\n', 'X-n716-k35.vrp': '45181\n', 'CMT4.vrp': '1030\n', 'X-n115-k10.vrp': '12747\n', 'X-n895-k37.vrp': '57209\n', 'Golden_12.vrp': '1008\n'}"
K7E1C15J1,"{'X-n294-k50.vrp': '48823\n', 'X-n233-k16.vrp': '19693\n', 'Golden_9.vrp': '511\n', 'X-n613-k62.vrp': '62623\n', 'X-n766-k71.vrp': '119336\n', 'X-n120-k6.vrp': '13607\n', 'X-n685-k75.vrp': '70892\n', 'CMT9.vrp': '1179\n', 'X-n561-k42.vrp': '44328\n', 'X-n251-k28.vrp': '39506\n', 'CMT10.vrp': '1428\n', 'Golden_14.vrp': '1126\n', 'X-n459-k26.vrp': '25019\n', 'X-n1001-k43.vrp': '76994\n', 'X-n181-k23.vrp': '25815\n'}"
K5E1C18J1,"{'X-n384-k52.vrp': '67855\n', 'X-n1001-k43.vrp': '76833\n', 'X-n837-k142.vrp': '198479\n', 'X-n284-k15.vrp': '21299\n', 'X-n298-k31.vrp': '35888\n', 'X-n237-k14.vrp': '27597\n', 'CMT1.vrp': '521\n', 'X-n336-k84.vrp': '144661\n', 'X-n819-k171.vrp': '162559\n', 'X-n420-k130.vrp': '110327\n', 'X-n599-k92.vrp': '111729\n', 'X-n256-k16.vrp': '19145\n', 'X-n162-k11.vrp': '14381\n', 'X-n367-k17.vrp': '23571\n', 'Golden_13.vrp': '886\n', 'X-n524-k153.vrp': '', 'X-n270-k35.vrp': '36045\n', 'X-n359-k29.vrp': '53540\n'}"
K3E2C15J1,"{'X-n536-k96.vrp': '97165\n', 'X-n327-k20.vrp': '28874\n', 'CMT3.vrp': '824\n', 'X-n561-k42.vrp': '44938\n', 'Golden_10.vrp': '667\n', 'Golden_17.vrp': '722\n', 'X-n420-k130.vrp': '110663\n', 'X-n223-k34.vrp': '41662\n', 'X-n125-k30.vrp': '56731\n', 'X-n261-k13.vrp': '27975\n', 'X-n524-k153.vrp': '', 'X-n837-k142.vrp': '198701\n', 'X-n298-k31.vrp': '36042\n', 'X-n176-k26.vrp': '49042\n', 'Golden_1.vrp': '5820\n'}"
K7E2C10J1,"{'X-n115-k10.vrp': '12747\n', 'X-n162-k11.vrp': '14286\n', 'X-n670-k130.vrp': '', 'X-n1001-k43.vrp': '76794\n', 'X-n749-k98.vrp': '80564\n', 'X-n502-k39.vrp': '69949\n', 'Golden_18.vrp': '1046\n', 'Golden_11.vrp': '829\n', 'X-n367-k17.vrp': '23504\n', 'X-n219-k73.vrp': '117866\n'}"
K3E2C10J1,"{'X-n284-k15.vrp': '21306\n', 'X-n143-k7.vrp': '16161\n', 'Golden_12.vrp': '1008\n', 'X-n204-k19.vrp': '20025\n', 'X-n209-k16.vrp': '31364\n', 'X-n701-k44.vrp': '85797\n', 'CMT4.vrp': '1030\n', 'X-n223-k34.vrp': '41391\n', 'X-n627-k43.vrp': '64862\n', 'CMT1.vrp': '521\n'}"
K5E3C18J1,"{'X-n766-k71.vrp': '119336\n', 'CMT11.vrp': '1124\n', 'X-n613-k62.vrp': '62317\n', 'X-n327-k20.vrp': '28874\n', 'X-n157-k13.vrp': '16951\n', 'X-n219-k73.vrp': '117866\n', 'CMT14.vrp': '865\n', 'Golden_7.vrp': '10452\n', 'X-n573-k30.vrp': '52077\n', 'Golden_8.vrp': '12049\n', 'X-n586-k159.vrp': '194302\n', 'X-n459-k26.vrp': '25064\n', 'X-n979-k58.vrp': '125250\n', 'X-n536-k96.vrp': '97165\n', 'X-n641-k35.vrp': '66779\n', 'X-n344-k43.vrp': '43740\n', 'X-n480-k70.vrp': '91596\n', 'X-n261-k13.vrp': '27744\n'}"
K7E6C18J1,"{'X-n670-k130.vrp': '', 'X-n429-k61.vrp': '67439\n', 'CMT11.vrp': '1047\n', 'X-n186-k15.vrp': '24803\n', 'X-n261-k13.vrp': '27620\n', 'X-n237-k14.vrp': '27766\n', 'X-n331-k15.vrp': '32321\n', 'X-n749-k98.vrp': '80663\n', 'X-n586-k159.vrp': '194520\n', 'Golden_10.vrp': '660\n', 'X-n536-k96.vrp': '97038\n', 'X-n376-k94.vrp': '148624\n', 'X-n837-k142.vrp': '198679\n', 'X-n613-k62.vrp': '62498\n', 'X-n167-k10.vrp': '21307\n', 'CMT12.vrp': '820\n', 'X-n384-k52.vrp': '67855\n', 'Golden_15.vrp': '1394\n'}"
K5E2C15J1,"{'X-n209-k16.vrp': '31705\n', 'CMT3.vrp': '824\n', 'X-n979-k58.vrp': '124978\n', 'X-n856-k95.vrp': '91013\n', 'X-n237-k14.vrp': '27519\n', 'X-n957-k87.vrp': '87708\n', 'Golden_2.vrp': '8666\n', 'X-n627-k43.vrp': '65007\n', 'Golden_6.vrp': '8466\n', 'X-n284-k15.vrp': '21306\n', 'X-n895-k37.vrp': '57448\n', 'X-n641-k35.vrp': '66779\n', 'X-n561-k42.vrp': '44693\n', 'X-n190-k8.vrp': '17404\n', 'X-n429-k61.vrp': '67588\n'}"
K5E2C18J1,"{'X-n143-k7.vrp': '16206\n', 'Golden_10.vrp': '661\n', 'X-n895-k37.vrp': '57546\n', 'X-n223-k34.vrp': '41647\n', 'X-n275-k28.vrp': '21760\n', 'X-n856-k95.vrp': '91015\n', 'X-n627-k43.vrp': '65207\n', 'X-n936-k151.vrp': '', 'X-n783-k48.vrp': '77001\n', 'X-n376-k94.vrp': '148664\n', 'X-n125-k30.vrp': '56901\n', 'X-n190-k8.vrp': '17378\n', 'X-n181-k23.vrp': '25865\n', 'X-n716-k35.vrp': '45906\n', 'Golden_5.vrp': '6509\n', 'X-n251-k28.vrp': '39763\n', 'X-n322-k28.vrp': '31038\n', 'X-n655-k131.vrp': '107584\n'}"
K7E2C18J1,"{'X-n148-k46.vrp': '44258\n', 'X-n115-k10.vrp': '12777\n', 'X-n176-k26.vrp': '48951\n', 'X-n701-k44.vrp': '85846\n', 'X-n303-k21.vrp': '22450\n', 'X-n783-k48.vrp': '77001\n', 'Golden_14.vrp': '1139\n', 'CMT3.vrp': '823\n', 'X-n801-k40.vrp': '75922\n', 'X-n524-k153.vrp': '', 'X-n195-k51.vrp': '45064\n', 'X-n242-k48.vrp': '84762\n', 'X-n502-k39.vrp': '69930\n', 'X-n266-k58.vrp': '77157\n', 'X-n548-k50.vrp': '88329\n', 'X-n181-k23.vrp': '25865\n', 'X-n627-k43.vrp': '65207\n', 'X-n157-k13.vrp': '16992\n'}"
K7E1C10J1,"{'X-n209-k16.vrp': '31578\n', 'Golden_4.vrp': '14029\n', 'CMT2.vrp': '843\n', 'X-n524-k153.vrp': '', 'X-n979-k58.vrp': '125411\n', 'X-n294-k50.vrp': '48737\n', 'CMT1.vrp': '521\n', 'X-n376-k94.vrp': '148624\n', 'X-n289-k60.vrp': '97691\n', 'Golden_17.vrp': '715\n'}"
K7E2C15J1,"{'X-n524-k153.vrp': '', 'X-n573-k30.vrp': '52077\n', 'X-n200-k36.vrp': '59947\n', 'Golden_19.vrp': '1398\n', 'X-n125-k30.vrp': '56731\n', 'X-n627-k43.vrp': '64704\n', 'X-n303-k21.vrp': '22432\n', 'CMT7.vrp': '912\n', 'X-n599-k92.vrp': '111505\n', 'Golden_4.vrp': '13988\n', 'X-n195-k51.vrp': '45104\n', 'X-n153-k22.vrp': '21636\n', 'X-n502-k39.vrp': '69918\n', 'X-n317-k53.vrp': '78954\n', 'X-n110-k13.vrp': '15062\n'}"
K3E3C18J1,"{'X-n837-k142.vrp': '198679\n', 'X-n480-k70.vrp': '91697\n', 'X-n561-k42.vrp': '44640\n', 'X-n420-k130.vrp': '110628\n', 'X-n190-k8.vrp': '17346\n', 'X-n275-k28.vrp': '21782\n', 'X-n701-k44.vrp': '85187\n', 'X-n256-k16.vrp': '19165\n', 'X-n586-k159.vrp': '194520\n', 'X-n957-k87.vrp': '87652\n', 'X-n376-k94.vrp': '148624\n', 'X-n143-k7.vrp': '16310\n', 'X-n280-k17.vrp': '34202\n', 'X-n242-k48.vrp': '85117\n', 'X-n627-k43.vrp': '65137\n', 'X-n331-k15.vrp': '32097\n', 'X-n685-k75.vrp': '71185\n', 'CMT3.vrp': '821\n'}"
K7E7C10J1,"{'X-n351-k40.vrp': '26869\n', 'X-n110-k13.vrp': '15166\n', 'X-n685-k75.vrp': '71022\n', 'X-n716-k35.vrp': '45349\n', 'CMT14.vrp': '865\n', 'X-n331-k15.vrp': '32334\n', 'X-n327-k20.vrp': '28630\n', 'CMT12.vrp': '824\n', 'X-n120-k6.vrp': '13495\n', 'X-n181-k23.vrp': '25866\n'}"
K5E1C10J1,"{'X-n247-k50.vrp': '', 'X-n280-k17.vrp': '34202\n', 'X-n233-k16.vrp': '19945\n', 'X-n393-k38.vrp': '39810\n', 'X-n561-k42.vrp': '44655\n', 'X-n449-k29.vrp': '58229\n', 'X-n384-k52.vrp': '67855\n', 'Golden_1.vrp': '5801\n', 'X-n200-k36.vrp': '60196\n', 'CMT5.vrp': '1333\n'}"
K3E3C10J1,"{'X-n336-k84.vrp': '', 'X-n233-k16.vrp': '19693\n', 'X-n524-k153.vrp': '', 'X-n837-k142.vrp': '198701\n', 'X-n979-k58.vrp': '124905\n', 'X-n801-k40.vrp': '76217\n', 'CMT6.vrp': '548\n', 'X-n895-k37.vrp': '57448\n', 'Golden_4.vrp': '14021\n', 'X-n655-k131.vrp': '107553\n'}"
K5E5C10J1,"{'X-n270-k35.vrp': '36277\n', 'Golden_6.vrp': '8621\n', 'X-n716-k35.vrp': '45817\n', 'X-n317-k53.vrp': '78954\n', 'X-n979-k58.vrp': '123694\n', 'X-n613-k62.vrp': '62392\n', 'X-n411-k19.vrp': '20618\n', 'CMT10.vrp': '1433\n', 'X-n344-k43.vrp': '43740\n', 'X-n429-k61.vrp': '67588\n'}"
K7E3C10J1,"{'X-n172-k51.vrp': '46377\n', 'X-n766-k71.vrp': '118713\n', 'X-n429-k61.vrp': '67439\n', 'X-n200-k36.vrp': '59853\n', 'X-n411-k19.vrp': '20717\n', 'X-n957-k87.vrp': '87559\n', 'Golden_5.vrp': '6478\n', 'X-n233-k16.vrp': '19828\n', 'X-n561-k42.vrp': '44625\n', 'Golden_10.vrp': '660\n'}"
K3E1C15J1,"{'X-n480-k70.vrp': '92103\n', 'X-n819-k171.vrp': '162576\n', 'Golden_3.vrp': '11297\n', 'X-n270-k35.vrp': '36288\n', 'CMT14.vrp': '865\n', 'X-n411-k19.vrp': '20860\n', 'X-n200-k36.vrp': '60167\n', 'X-n459-k26.vrp': '25091\n', 'X-n181-k23.vrp': '25866\n', 'X-n586-k159.vrp': '194302\n', 'X-n237-k14.vrp': '27934\n', 'Golden_8.vrp': '12049\n', 'Golden_18.vrp': '1047\n', 'X-n1001-k43.vrp': '77303\n', 'CMT9.vrp': '1179\n'}"
K7E1C18J1,"{'CMT5.vrp': '1319\n', 'X-n251-k28.vrp': '39763\n', 'X-n367-k17.vrp': '23708\n', 'Golden_12.vrp': '1006\n', 'X-n308-k13.vrp': '26806\n', 'X-n420-k130.vrp': '110030\n', 'Golden_1.vrp': '5809\n', 'CMT1.vrp': '521\n', 'Golden_17.vrp': '720\n', 'X-n247-k50.vrp': '', 'CMT4.vrp': '1030\n', 'X-n766-k71.vrp': '119031\n', 'X-n336-k84.vrp': '142869\n', 'X-n256-k16.vrp': '19127\n', 'X-n351-k40.vrp': '27176\n', 'Golden_6.vrp': '8562\n', 'X-n162-k11.vrp': '14254\n', 'X-n685-k75.vrp': '71151\n'}"
K5E4C18J1,"{'X-n172-k51.vrp': '46323\n', 'Golden_19.vrp': '1415\n', 'X-n153-k22.vrp': '21759\n', 'X-n317-k53.vrp': '79017\n', 'CMT6.vrp': '548\n', 'X-n266-k58.vrp': '77157\n', 'X-n110-k13.vrp': '15041\n', 'X-n411-k19.vrp': '20762\n', 'X-n186-k15.vrp': '24739\n', 'Golden_6.vrp': '8562\n', 'Golden_4.vrp': '14213\n', 'X-n242-k48.vrp': '84762\n', 'X-n502-k39.vrp': '69930\n', 'X-n801-k40.vrp': '75922\n', 'X-n247-k50.vrp': '', 'X-n439-k37.vrp': '37217\n', 'X-n115-k10.vrp': '12777\n', 'X-n876-k59.vrp': '102661\n'}"
K3E1C18J1,"{'X-n129-k18.vrp': '29829\n', 'Golden_8.vrp': '11981\n', 'CMT13.vrp': '1562\n', 'Golden_18.vrp': '1046\n', 'Golden_15.vrp': '1411\n', 'Golden_11.vrp': '830\n', 'X-n336-k84.vrp': '142869\n', 'X-n384-k52.vrp': '67997\n', 'X-n247-k50.vrp': '', 'X-n429-k61.vrp': '67377\n', 'X-n181-k23.vrp': '25865\n', 'X-n439-k37.vrp': '37217\n', 'X-n120-k6.vrp': '13560\n', 'X-n670-k130.vrp': '', 'CMT8.vrp': '859\n', 'Golden_5.vrp': '6509\n', 'X-n449-k29.vrp': '58046\n', 'X-n573-k30.vrp': '51775\n'}"
K7E3C18J1,"{'X-n214-k11.vrp': '11349\n', 'X-n876-k59.vrp': '102661\n', 'CMT9.vrp': '1166\n', 'X-n573-k30.vrp': '51775\n', 'X-n143-k7.vrp': '16206\n', 'X-n439-k37.vrp': '37217\n', 'CMT13.vrp': '1562\n', 'X-n209-k16.vrp': '31508\n', 'X-n233-k16.vrp': '19800\n', 'Golden_20.vrp': '1911\n', 'X-n125-k30.vrp': '56901\n', 'Golden_13.vrp': '893\n', 'X-n134-k13.vrp': '11158\n', 'Golden_11.vrp': '830\n', 'Golden_8.vrp': '11981\n', 'X-n393-k38.vrp': '39744\n', 'X-n200-k36.vrp': '59931\n', 'X-n228-k23.vrp': '26308\n'}"
K3E1C10J1,"{'X-n275-k28.vrp': '21669\n', 'X-n125-k30.vrp': '56354\n', 'X-n783-k48.vrp': '76511\n', 'X-n384-k52.vrp': '67855\n', 'X-n344-k43.vrp': '43522\n', 'X-n327-k20.vrp': '28879\n', 'X-n237-k14.vrp': '27978\n', 'Golden_20.vrp': '1895\n', 'X-n469-k138.vrp': '226106\n', 'X-n670-k130.vrp': ''}"
K7E7C15J1,"{'Golden_2.vrp': '8717\n', 'X-n308-k13.vrp': '26867\n', 'X-n162-k11.vrp': '14286\n', 'CMT12.vrp': '824\n', 'X-n106-k14.vrp': '26635\n', 'Golden_11.vrp': '819\n', 'X-n801-k40.vrp': '76495\n', 'X-n228-k23.vrp': '26363\n', 'X-n367-k17.vrp': '23504\n', 'X-n331-k15.vrp': '32350\n', 'X-n429-k61.vrp': '67588\n', 'X-n641-k35.vrp': '66779\n', 'X-n586-k159.vrp': '194302\n', 'X-n101-k25.vrp': '28271\n', 'Golden_7.vrp': '10482\n'}"
K7E7C18J1,"{'X-n469-k138.vrp': '226106\n', 'X-n401-k29.vrp': '67867\n', 'X-n957-k87.vrp': '87645\n', 'X-n459-k26.vrp': '25153\n', 'X-n411-k19.vrp': '20702\n', 'X-n344-k43.vrp': '43522\n', 'X-n313-k71.vrp': '96330\n', 'X-n317-k53.vrp': '79051\n', 'X-n110-k13.vrp': '15157\n', 'X-n480-k70.vrp': '91808\n', 'X-n190-k8.vrp': '17428\n', 'CMT8.vrp': '860\n', 'X-n513-k21.vrp': '25271\n', 'Golden_2.vrp': '8513\n', 'CMT7.vrp': '919\n', 'X-n936-k151.vrp': '139358\n', 'CMT14.vrp': '865\n', 'X-n819-k171.vrp': '162559\n'}"
K5E5C15J1,"{'X-n459-k26.vrp': '25091\n', 'X-n367-k17.vrp': '23504\n', 'X-n153-k22.vrp': '21636\n', 'CMT9.vrp': '1177\n', 'X-n344-k43.vrp': '43466\n', 'CMT14.vrp': '865\n', 'X-n223-k34.vrp': '41391\n', 'Golden_16.vrp': '1705\n', 'X-n256-k16.vrp': '19171\n', 'X-n270-k35.vrp': '36227\n', 'X-n480-k70.vrp': '92103\n', 'CMT1.vrp': '521\n', 'CMT2.vrp': '843\n', 'X-n336-k84.vrp': '144250\n', 'X-n801-k40.vrp': '76375\n'}"
